experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,simulation_source,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
2,1-english-only,airline,english,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/1-english-only/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,data/simulations/1-english-only/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/results.json,,0.68,0.54,0.44,0.647,0.997976,1.0,0.999,1,494,652,ru_0.002,,21,,1,0,en_0.998|ru_0.002,en_1.000,
6,1-english-only,airline,english,en,en,azure/kimi-k2.5,kimi-k2.5,data/simulations/1-english-only/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/1-english-only/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.707,0.6,0.54,0.764,0.996748,1.0,0.997,0.997,615,897,it_0.003,,3.0,,2,0,en_0.997|it_0.003,en_1.000,
7,1-english-only,retail,english,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/1-english-only/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,data/simulations/1-english-only/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/results.json,,0.649,0.52,0.447,0.689,0.998616,1.0,0.999,1,1445,1750,fr_0.001|ta_0.001,,8.5,,2,0,en_0.999|fr_0.001|ta_0.001,en_1.000,
9,1-english-only,retail,english,en,en,azure/kimi-k2.5,kimi-k2.5,data/simulations/1-english-only/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/1-english-only/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.561,0.442,0.395,0.704,0.985284,1.0,0.988,1,1495,2177,fr_0.006|de_0.004|id_0.002|sv_0.001|ja_0.001|pt_0.001,,5,,21,0,en_0.985|fr_0.006|de_0.004|id_0.002|sv_0.001|ja_0.001|pt_0.001,en_1.000,
11,1-english-only,retail,english,en,en,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/1-english-only/20260511_223511_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260511_223511_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/1-english-only/20260511_223511_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260511_223511_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.655,0.515,0.439,0.67,0.987265,1.0,0.989,1,1492,1738,fr_0.006|de_0.005|uk_0.001|ja_0.001,,7,,19,0,en_0.987|fr_0.006|de_0.005|uk_0.001|ja_0.001,en_1.000,
12,1-english-only,telecom,english,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/1-english-only/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,data/simulations/1-english-only/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/results.json,,0.664,0.532,0.474,0.714,0.998783,0.999678,0.999,1,3287,3103,la_0.001|ja_0.000|ru_0.000,pa_0.000,62.0,26,4,1,en_0.999|la_0.001|ja_0.000|ru_0.000,en_1.000|pa_0.000,
14,1-english-only,telecom,english,en,en,azure/kimi-k2.5,kimi-k2.5,data/simulations/1-english-only/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/1-english-only/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.977,0.953,0.93,0.952,1.0,1.0,1,1,2730,3227,,,,,0,0,en_1.000,en_1.000,
16,1-english-only,telecom,english,en,en,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/1-english-only/20260511_040022_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260511_040022_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/1-english-only/20260511_040022_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260511_040022_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.985,0.971,0.956,0.971,1.0,1.0,1,1,3103,2990,,,,,0,0,en_1.000,en_1.000,
17,2-multilingual-tools,airline,chinese,zh,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""tools""]",0.687,0.593,0.52,0.757,0.998141,1.0,0.998,0.999,538,697,fr_0.002,,7,,1,0,en_0.998|fr_0.002,en_1.000,
18,2-multilingual-tools,airline,filipino,tl,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""tools""]",0.667,0.58,0.54,0.81,0.998069,1.0,0.997,1,518,675,fr_0.002,,5,,1,0,en_0.998|fr_0.002,en_1.000,
