group,group_value,domain,primary_failure_mode,count,pct_all,pct_agent_failures,total_simulations,agent_failure_count,lang,agent_llm,run
by_domain,airline,airline,success,941,57.0,,1650,698,,,
by_domain,airline,airline,non_agent_infrastructure,11,0.7,,1650,698,,,
by_domain,airline,airline,tool_error_loop,41,2.5,5.9,1650,698,,,
by_domain,airline,airline,missing_required_write,306,18.5,43.8,1650,698,,,
by_domain,airline,airline,wrong_write_arguments_or_state,147,8.9,21.1,1650,698,,,
by_domain,airline,airline,premature_refusal_or_policy_misread,77,4.7,11.0,1650,698,,,
by_domain,airline,airline,non_action_assertion_failure,75,4.5,10.7,1650,698,,,
by_domain,airline,airline,dialogue_or_action_loop,34,2.1,4.9,1650,698,,,
by_domain,airline,airline,wrong_read_arguments,3,0.2,0.4,1650,698,,,
by_domain,airline,airline,language_drift,11,0.7,1.6,1650,698,,,
by_domain,airline,airline,unclassified_failure,4,0.2,0.6,1650,698,,,
by_domain,retail,retail,success,1537,32.1,,4788,3201,,,
by_domain,retail,retail,non_agent_infrastructure,50,1.0,,4788,3201,,,
by_domain,retail,retail,credential_or_identifier_hallucination,562,11.7,17.6,4788,3201,,,
by_domain,retail,retail,tool_error_loop,612,12.8,19.1,4788,3201,,,
by_domain,retail,retail,missing_required_write,1195,25.0,37.3,4788,3201,,,
by_domain,retail,retail,wrong_write_arguments_or_state,358,7.5,11.2,4788,3201,,,
by_domain,retail,retail,premature_refusal_or_policy_misread,266,5.6,8.3,4788,3201,,,
by_domain,retail,retail,translated_identifier_lookup_failure,71,1.5,2.2,4788,3201,,,
by_domain,retail,retail,non_action_assertion_failure,47,1.0,1.5,4788,3201,,,
by_domain,retail,retail,dialogue_or_action_loop,59,1.2,1.8,4788,3201,,,
by_domain,retail,retail,wrong_read_arguments,7,0.1,0.2,4788,3201,,,
by_domain,retail,retail,max_steps_or_dialogue_loop,13,0.3,0.4,4788,3201,,,
by_domain,retail,retail,language_drift,7,0.1,0.2,4788,3201,,,
by_domain,retail,retail,unclassified_failure,4,0.1,0.1,4788,3201,,,
by_domain,telecom,telecom,success,170,49.7,,342,172,,,
by_domain,telecom,telecom,credential_or_identifier_hallucination,50,14.6,29.1,342,172,,,
by_domain,telecom,telecom,tool_error_loop,8,2.3,4.7,342,172,,,
by_domain,telecom,telecom,missing_required_write,17,5.0,9.9,342,172,,,
by_domain,telecom,telecom,wrong_write_arguments_or_state,5,1.5,2.9,342,172,,,
by_domain,telecom,telecom,missing_user_device_instruction,91,26.6,52.9,342,172,,,
by_domain,telecom,telecom,non_action_assertion_failure,1,0.3,0.6,342,172,,,
by_language,id,,success,787,39.2,,2010,1223,id,,
by_language,id,,credential_or_identifier_hallucination,154,7.7,12.6,2010,1223,id,,
by_language,id,,tool_error_loop,301,15.0,24.6,2010,1223,id,,
by_language,id,,missing_required_write,430,21.4,35.2,2010,1223,id,,
by_language,id,,wrong_write_arguments_or_state,133,6.6,10.9,2010,1223,id,,
by_language,id,,missing_user_device_instruction,91,4.5,7.4,2010,1223,id,,
by_language,id,,premature_refusal_or_policy_misread,68,3.4,5.6,2010,1223,id,,
by_language,id,,translated_identifier_lookup_failure,1,0.0,0.1,2010,1223,id,,
by_language,id,,non_action_assertion_failure,18,0.9,1.5,2010,1223,id,,
by_language,id,,dialogue_or_action_loop,12,0.6,1.0,2010,1223,id,,
by_language,id,,wrong_read_arguments,3,0.1,0.2,2010,1223,id,,
by_language,id,,max_steps_or_dialogue_loop,12,0.6,1.0,2010,1223,id,,
by_language,th,,success,406,41.3,,984,578,th,,
by_language,th,,credential_or_identifier_hallucination,2,0.2,0.3,984,578,th,,
by_language,th,,tool_error_loop,36,3.7,6.2,984,578,th,,
by_language,th,,missing_required_write,231,23.5,40.0,984,578,th,,
by_language,th,,wrong_write_arguments_or_state,83,8.4,14.4,984,578,th,,
