scenario,domain,language_senario,agent_llm,normalized_agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,read_action,write_action,db_match,user_language_correctness,agent_language_correctness,total_simulations,total_tasks
1-english-only,airline,english,openai/gpt-5-mini,gpt-5-mini,data/simulations/1-english-only/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,0.68,0.54,0.44,0.647,0.875,0.585,0.693,0.999,1,,
1-english-only,airline,english,openai/gpt-5-mini,gpt-5-mini,,0.693,0.593,0.54,0.779,0.861,0.592,0.7,,,150,50
1-english-only,airline,english,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,,0.5,0.387,0.34,0.680,0.937,0.51,0.503,,,150,50
1-english-only,airline,english,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,,0.773,0.663,0.58,0.750,0.923,0.49,0.74,,,,
1-english-only,airline,english,azure/kimi-k2.5,kimi-k2.5,data/simulations/1-english-only/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.707,0.6,0.54,0.764,0.853,0.551,0.72,0.997,0.997,,
1-english-only,retail,english,openai/gpt-5-mini,gpt-5-mini,data/simulations/1-english-only/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,0.649,0.52,0.447,0.689,0.925,0.695,0.664,0.999,1,,
1-english-only,retail,english,openai/gpt-5-mini,gpt-5-mini,,0.655,0.497,0.412,0.629,0.929,0.731,0.687,,,342,114
1-english-only,retail,english,azure/kimi-k2.5,kimi-k2.5,data/simulations/1-english-only/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.561,0.442,0.395,0.704,0.905,0.515,0.573,0.988,1,,
1-english-only,retail,english,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,,0.579,0.415,0.342,0.591,0.901,0.623,0.607,,,342,114
1-english-only,retail,english,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/1-english-only/20260511_223511_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260511_223511_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.655,0.515,0.439,0.670,0.937,0.693,0.669,0.989,1,,
1-english-only,telecom,english,openai/gpt-5-mini,gpt-5-mini,data/simulations/1-english-only/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,0.664,0.532,0.474,0.714,,0.816,0.17,0.999,1,,
1-english-only,telecom,english,openai/gpt-5-mini,gpt-5-mini,,0.713,0.588,0.509,0.714,,0.865,0.191,,,342,114
1-english-only,telecom,english,azure/kimi-k2.5,kimi-k2.5,data/simulations/1-english-only/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.977,0.953,0.93,0.952,,0.988,0.26,1,1,,
1-english-only,telecom,english,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,,0.357,0.205,0.132,0.370,,0.628,0.143,,,342,114
1-english-only,telecom,english,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/1-english-only/20260511_040022_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260511_040022_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.985,0.971,0.956,0.971,,0.993,0.281,1,1,,
2-multilingual-tools,airline,chinese,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.687,0.593,0.52,0.757,0.828,0.605,0.72,0.998,0.999,150,50
2-multilingual-tools,airline,filipino,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.667,0.58,0.54,0.810,0.839,0.578,0.68,0.997,1,150,50
2-multilingual-tools,airline,indonesian,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.687,0.567,0.48,0.699,0.875,0.639,0.693,0.998,1,150,50
2-multilingual-tools,airline,thai,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.62,0.473,0.4,0.645,0.839,0.469,0.633,0.993,1,150,50
2-multilingual-tools,airline,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.68,0.56,0.48,0.706,0.817,0.619,0.687,0.998,1,150,50
2-multilingual-tools,airline,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.66,0.56,0.48,0.727,0.817,0.592,0.673,0.997,1,150,50
2-multilingual-tools,airline,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.64,0.52,0.48,0.750,0.857,0.524,0.653,0.995,1,150,50
2-multilingual-tools,airline,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.64,0.513,0.44,0.688,0.806,0.51,0.647,0.996,1,150,50
2-multilingual-tools,airline,vietnamese,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.653,0.527,0.46,0.704,0.886,0.51,0.653,0.994,1,150,50
2-multilingual-tools,airline,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.48,0.313,0.2,0.417,0.861,0.476,0.5,0.995,1,150,50
2-multilingual-tools,airline,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.467,0.32,0.24,0.514,0.861,0.49,0.5,0.996,1,150,50
2-multilingual-tools,airline,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.4,0.233,0.18,0.450,0.897,0.374,0.42,0.999,1,150,50
2-multilingual-tools,airline,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.38,0.253,0.22,0.579,0.879,0.463,0.413,0.995,1,150,50
