run,experiment,domain,lang,agent_llm,user_llm,task_id,trial,reward,termination_reason,primary_failure_mode,secondary_failure_modes,tool_call_count,tool_error_count,expected_action_count,action_check_count,read_failed_count,write_failed_count,agent_language_score,example
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,0,0,0.0,user_stop,missing_required_write,assistant_multi_tool_call;write_check_failed,4,0,5,5,0,1,1.0,"user=สวัสดีครับ ผมชื่อ Yusuf Rossi รหัสไปรษณีย์ 19122 ผมเพิ่งได้รับคำสั่งซื้อ #W2378156 และต้องการขอเปลี่ยนแปลงบางอย่างก่อนที่จะจัดส่งครับ | calls=find_user_id_by_name_zip({""first_name"": ""Yusuf"", ""last_name"": ""Rossi"", ""zip"": ""19122""}), get_order_details({""order_id"": ""#W2378156""}), get_product_details({""product_id"": ""1656367028""})"
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,1,0,0.0,user_stop,premature_refusal_or_policy_misread,refusal_or_policy_language;tool_errors;write_check_failed,6,1,5,5,0,1,1.0,"user=สวัสดีครับ ผมชื่อ Yusuf Rossi รหัสไปรษณีย์ 19122 ผมเพิ่งได้รับคำสั่งซื้อ #W2378156 และต้องการขอเปลี่ยนแปลงบางอย่างก่อนที่จะจัดส่งครับ  ผมต้องการขอเปลี่ยนคีย์บอร์ดกลไกที่สั่งไป เป็น | calls=find_user_id_by_name_zip({""first_name"": ""Yusuf"", ""last_name"": ""Rossi"", ""zip"": ""19122""}), get_order_details({""order_id"": ""#W2378156""}), get_product_details({""product_id"": ""1656367028""}) | error=Error: Non-pending order cannot be modified"
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,2,0,1.0,user_stop,success,refusal_or_policy_language;write_check_failed,10,0,11,11,0,1,1.0,"user=สวัสดีครับ ผมชื่อ Yusuf Rossi รหัสไปรษณีย์ 19122 นะครับ ผมต้องการทราบว่าตอนนี้มีเสื้อยืดให้เลือกกี่ตัวที่ available ในร้านค้าออนไลน์ และผมก็ต้องการส่งคืนเครื่องทำความสะอาด หูฟัง แล | calls=find_user_id_by_name_zip({""first_name"": ""Yusuf"", ""last_name"": ""Rossi"", ""zip"": ""19122""}), get_user_details({""user_id"": ""yusuf_rossi_9620""}), list_all_product_types({})"
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,3,0,0.0,user_stop,premature_refusal_or_policy_misread,read_check_failed;refusal_or_policy_language;write_check_failed,8,0,12,12,9,1,1.0,"user=สวัสดีครับ ผมต้องการทราบว่าตอนนี้มีเสื้อยืดให้เลือกกี่แบบในร้านออนไลน์ครับ | calls=find_user_id_by_name_zip({""first_name"": ""Yusuf"", ""last_name"": ""Rossi"", ""zip"": ""19122""}), list_all_product_types({}), get_product_details({""product_id"": ""2892623495""})"
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,6,0,0.0,user_stop,wrong_write_arguments_or_state,refusal_or_policy_language;tool_errors;write_check_failed,7,1,6,6,0,1,1.0,"user=สวัสดีค่ะ ฉันต้องการเปลี่ยนสินค้าสองอย่างที่ซื้อไปก่อนหน้านี้ค่ะ คือขวดน้ำและโคมไฟตั้งโต๊ะ | calls=find_user_id_by_name_zip({""first_name"": ""Mei"", ""last_name"": ""Kovacs"", ""zip"": ""28236""}), get_user_details({""user_id"": ""mei_kovacs_8020""}), get_order_details({""order_id"": ""#W6390527""}) | error=Error: Number of 8538879709 not found."
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,5,0,0.0,user_stop,translated_identifier_lookup_failure,refusal_or_policy_language;tool_errors;translated_identifier_lookup_failure;write_check_failed,9,1,5,5,0,1,1.0,"user=สวัสดีค่ะ ฉันต้องการเปลี่ยนสินค้าสองอย่างที่สั่งไปก่อนหน้านี้ค่ะ คือขวดน้ำและโคมไฟตั้งโต๊ะ | calls=find_user_id_by_name_zip({""first_name"": ""เมย์"", ""last_name"": ""โกวัช"", ""zip"": ""28236""}), find_user_id_by_name_zip({""first_name"": ""Mei"", ""last_name"": ""Kovacs"", ""zip"": ""28236""}), get_user_details({""user_id"": ""mei_kovacs_8020""}) | error=Error: User not found"
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,4,0,1.0,user_stop,success,assistant_multi_tool_call,62,0,13,13,0,0,1.0,"user=สวัสดีครับ ผมต้องการทราบว่าตอนนี้มีตัวเลือกเสื้อยืดให้เลือกกี่แบบในร้านออนไลน์ครับ | calls=find_user_id_by_name_zip({""first_name"": ""Yusuf"", ""last_name"": ""Rossi"", ""zip"": ""19122""}), list_all_product_types({}), get_product_details({""product_id"": ""1075968781""})"
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,10,0,1.0,user_stop,success,read_check_failed;refusal_or_policy_language;tool_errors,3,1,5,5,3,0,1.0,"user=ฉันต้องการขอคืนสินค้าทั้งหมดที่สั่งไป 2 คำสั่งซื้อ | calls=find_user_id_by_email({""email"": ""mia.garcia2723@example.com""}), get_order_details({""order_id"": ""#W0000001""}), transfer_to_human_agents({""summary"": ""ผู้ใช้ (user_id: mia_garcia_4516, email: mia.garcia2723@example.com) ต้องการคืนสินค้าทั้งหมด | error=Error: Order not found"
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,9,0,0.0,user_stop,missing_required_write,write_check_failed,6,0,6,6,0,1,1.0,"user=สวัสดีค่ะ ฉันชื่อเมย์ ฉันต้องการเปลี่ยนสินค้าสองอย่างที่ซื้อไปเมื่อไม่กี่วันก่อนค่ะ คือขวดน้ำและโคมไฟตั้งโต๊ะ ฉันอยากเปลี่ยนขวดน้ำเป็นรุ่นที่ใหญ่ขึ้น และเปลี่ยนโคมไฟตั้งโต๊ะเป็นรุ่ | calls=find_user_id_by_name_zip({""first_name"": ""Mei"", ""last_name"": ""Kovacs"", ""zip"": ""28236""}), get_user_details({""user_id"": ""mei_kovacs_8020""}), get_order_details({""order_id"": ""#W6390527""})"
2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,Qwen3-235B-A22B-Instruct-2507-FP8,7,0,1.0,user_stop,success,read_check_failed;refusal_or_policy_language;tool_errors,8,1,6,6,1,0,1.0,"user=สวัสดีค่ะ ฉันต้องการเปลี่ยนสินค้าสองอย่างที่ซื้อไปก่อนหน้านี้ค่ะ คือขวดน้ำและโคมไฟตั้งโต๊ะ | calls=find_user_id_by_name_zip({""first_name"": ""mei"", ""last_name"": ""kovacs_8020"", ""zip"": ""28236""}), find_user_id_by_name_zip({""first_name"": ""Mei"", ""last_name"": ""Kovacs"", ""zip"": ""28236""}), get_user_details({""user_id"": ""mei_kovacs_8020""}) | error=Error: User not found"
