scenario,domain,language_senario,agent_llm,normalized_agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,rho_hat_3,read_action,write_action,db_match,user_language_correctness,agent_language_correctness,total_simulations,total_tasks
english,airline,english,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,0.68,0.54,0.44,0.647,0.875,0.585,0.693,0.999,1.0,150,50
english,airline,english,azure/kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.707,0.6,0.54,0.764,0.853,0.551,0.72,0.997,1.0,150,50
english,airline,english,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/english/20260506_204315_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260506_204315_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.393,0.24,0.16,0.407,0.901,0.395,0.4,0.995,1.0,150,50
english,retail,english,gpt-5-mini,gpt-5-mini,data/simulations/english/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,0.649,0.52,0.447,0.689,0.925,0.695,0.664,0.999,1.0,342,114
english,retail,english,azure/kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.561,0.442,0.395,0.704,0.905,0.515,0.573,0.988,1.0,342,114
english,retail,english,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/english/20260507_005945_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260507_005945_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.591,0.444,0.377,0.638,0.92,0.634,0.623,0.992,1.0,342,114
english,telecom,english,gpt-5-mini,gpt-5-mini,data/simulations/english/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,0.664,0.532,0.474,0.714,,0.816,0.17,0.999,1.0,342,114
english,telecom,english,azure/kimi-k2.5,kimi-k2.5,data/simulations/english/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.977,0.953,0.93,0.952,,0.988,0.26,1.0,1.0,342,114
english,telecom,english,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/english/20260506_212037_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260506_212037_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,0.357,0.208,0.14,0.392,,0.696,0.173,1.0,1.0,342,114
l2_domain,airline,chinese,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.607,0.493,0.44,0.725,0.934,0.265,0.627,0.994,0.965,150,50
l2_domain,airline,chinese,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B,0.66,0.507,0.44,0.667,0.933,0.293,0.701,1.0,1.0,150,50
l2_domain,airline,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.5,0.473,0.46,0.92,0.901,0.167,0.594,1.0,1.0,150,50
l2_domain,airline,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.56,0.433,0.38,0.679,0.751,0.184,0.56,0.951,0.832,150,50
l2_domain,airline,filipino,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-24-16-49-00_translated_airline_trial-3_tl_kimi-k2.5_vertex_ai_default_user,0.6,0.48,0.4,0.667,0.946,0.281,0.736,0.977,0.944,150,50
l2_domain,airline,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.473,0.42,0.4,0.846,0.876,0.127,0.593,0.976,0.941,150,50
l2_domain,airline,indonesian,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.6,0.54,0.5,0.833,0.78,0.184,0.613,0.963,0.796,150,50
l2_domain,airline,indonesian,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-24-10-59-14_translated_airline_trial-3_id_kimi-k2.5_vertex_ai_default_user,0.6,0.487,0.42,0.7,0.903,0.232,0.732,0.995,0.955,150,50
l2_domain,airline,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.48,0.44,0.42,0.875,0.821,0.102,0.612,0.991,0.96,150,50
l2_domain,airline,thai,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.593,0.453,0.36,0.607,0.89,0.204,0.613,0.993,0.994,150,50
