experiments_all_line,scenario,scenario_label,domain,language,language_label,lang_id,expected_language,agent_llm,agent_family,normalized_agent_llm,simulation_source,results_json,role,turn_count,target_turn_count,non_target_turn_count,english_turn_count,language_correctness,non_target_share,english_share,detected_lang_proportion,detected_lang_proportion_json
11,l2_domain,L2 Domain,airline,chinese,ZH,zh,zh,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,729,696,33,30,0.954733,0.045267,0.041152,zh_0.955|en_0.041|ko_0.004,"{""en"":0.041152,""ko"":0.004115,""zh"":0.954733}"
11,l2_domain,L2 Domain,airline,chinese,ZH,zh,zh,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,557,554,3,0,0.994614,0.005386,0.0,zh_0.995|de_0.002|ko_0.002|sr_0.002,"{""de"":0.001795,""ko"":0.001795,""sr"":0.001795,""zh"":0.994614}"
12,l2_domain,L2 Domain,airline,chinese,ZH,zh,zh,openai/moonshotai/Kimi-K2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/l2_domain/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,agent,1110,1110,0,0,1.0,0.0,0.0,zh_1.000,"{""zh"":1.0}"
12,l2_domain,L2 Domain,airline,chinese,ZH,zh,zh,openai/moonshotai/Kimi-K2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/l2_domain/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,user,631,631,0,0,1.0,0.0,0.0,zh_1.000,"{""zh"":1.0}"
13,l2_domain,L2 Domain,airline,chinese,ZH,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,717,717,0,0,1.0,0.0,0.0,zh_1.000,"{""zh"":1.0}"
13,l2_domain,L2 Domain,airline,chinese,ZH,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,617,617,0,0,1.0,0.0,0.0,zh_1.000,"{""zh"":1.0}"
14,l2_domain,L2 Domain,airline,filipino,TL,tl,tl,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,678,595,83,83,0.877581,0.122419,0.122419,tl_0.878|en_0.122,"{""en"":0.122419,""tl"":0.877581}"
14,l2_domain,L2 Domain,airline,filipino,TL,tl,tl,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,526,490,36,21,0.931559,0.068441,0.039924,tl_0.932|en_0.040|it_0.006|es_0.004|la_0.004|ceb_0.002|et_0.002|id_0.002|no_0.002|pl_0.002|ru_0.002|sah_0.002|si_0.002,"{""ceb"":0.001901,""en"":0.039924,""es"":0.003802,""et"":0.001901,""id"":0.001901,""it"":0.005703,""la"":0.003802,""no"":0.001901,""pl"":0.001901,""ru"":0.001901,""sah"":0.001901,""si"":0.001901,""tl"":0.931559}"
15,l2_domain,L2 Domain,airline,filipino,TL,tl,tl,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-24-16-49-00_translated_airline_trial-3_tl_kimi-k2.5_vertex_ai_default_user,data/simulations/l2_domain/2026-05-24-16-49-00_translated_airline_trial-3_tl_kimi-k2.5_vertex_ai_default_user/results.json,agent,1059,1002,57,57,0.946176,0.053824,0.053824,tl_0.946|en_0.054,"{""en"":0.053824,""tl"":0.946176}"
15,l2_domain,L2 Domain,airline,filipino,TL,tl,tl,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-24-16-49-00_translated_airline_trial-3_tl_kimi-k2.5_vertex_ai_default_user,data/simulations/l2_domain/2026-05-24-16-49-00_translated_airline_trial-3_tl_kimi-k2.5_vertex_ai_default_user/results.json,user,620,601,19,8,0.969355,0.030645,0.012903,tl_0.969|en_0.013|fr_0.006|ceb_0.003|ro_0.003|ca_0.002|it_0.002|lt_0.002,"{""ca"":0.001613,""ceb"":0.003226,""en"":0.012903,""fr"":0.006452,""it"":0.001613,""lt"":0.001613,""ro"":0.003226,""tl"":0.969355}"
