scenario,domain,language_scenario,agent_llm,agent_family,role,experiment_count,turns_total,mean_language_correctness,drift_trial_count,mean_drift_turn,non_target_lang_proportion,detected_lang_proportion
1-english-only,airline,english,azure/kimi-k2.5,kimi-k2.5,user,1,615,0.996748,2,3.0,it_0.003,en_0.997|it_0.003
1-english-only,airline,english,openai/gpt-5-mini,gpt-5-mini,user,1,494,0.997976,1,21.0,ru_0.002,en_0.998|ru_0.002
1-english-only,retail,english,azure/kimi-k2.5,kimi-k2.5,user,1,1495,0.985284,21,5.0,fr_0.006|de_0.004|id_0.002|ja_0.001|pt_0.001|sv_0.001,en_0.985|fr_0.006|de_0.004|id_0.002|ja_0.001|pt_0.001|sv_0.001
1-english-only,retail,english,openai/gpt-5-mini,gpt-5-mini,user,1,1445,0.998616,2,8.5,fr_0.001|ta_0.001,en_0.999|fr_0.001|ta_0.001
1-english-only,retail,english,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,1492,0.987265,19,7.0,fr_0.006|de_0.005|ja_0.001|uk_0.001,en_0.987|fr_0.006|de_0.005|ja_0.001|uk_0.001
1-english-only,telecom,english,azure/kimi-k2.5,kimi-k2.5,user,1,2730,1.0,0,,,en_1.000
1-english-only,telecom,english,openai/gpt-5-mini,gpt-5-mini,user,1,3287,0.998783,4,62.0,la_0.001|ja_0.000|ru_0.000,en_0.999|la_0.001|ja_0.000|ru_0.000
1-english-only,telecom,english,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,3103,1.0,0,,,en_1.000
2-multilingual-tools,airline,chinese,openai/gpt-5-mini,gpt-5-mini,user,1,538,0.998141,1,7.0,fr_0.002,en_0.998|fr_0.002
2-multilingual-tools,airline,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,676,0.995562,3,3.0,it_0.004,en_0.996|it_0.004
2-multilingual-tools,airline,filipino,openai/gpt-5-mini,gpt-5-mini,user,1,518,0.998069,1,5.0,fr_0.002,en_0.998|fr_0.002
2-multilingual-tools,airline,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,691,0.995658,3,3.0,it_0.004,en_0.996|it_0.004
2-multilingual-tools,airline,indonesian,openai/gpt-5-mini,gpt-5-mini,user,1,527,0.998102,1,3.0,it_0.002,en_0.998|it_0.002
2-multilingual-tools,airline,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,661,0.998487,1,3.0,it_0.002,en_0.998|it_0.002
