experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
2,english,airline,english,en,en,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/results.json,,0.68,0.54,0.44,0.647,0.997976,1.0,0.999,1.0,494,652,ru_0.002,,21.0,,1,0,en_0.998|ru_0.002,en_1.000,
3,english,airline,english,en,en,azure/kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.707,0.6,0.54,0.764,0.996748,1.0,0.997,1.0,615,897,it_0.003,,3.0,,2,0,en_0.997|it_0.003,en_1.000,
4,english,airline,english,en,en,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/english/20260506_204315_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260506_204315_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.393,0.24,0.16,0.407,0.995763,1.0,0.995,1.0,708,791,it_0.004,,3.0,,3,0,en_0.996|it_0.004,en_1.000,
5,english,retail,english,en,en,gpt-5-mini,gpt-5-mini,data/simulations/english/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260425_182836_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/results.json,,0.649,0.52,0.447,0.689,0.998616,1.0,0.999,1.0,1445,1750,fr_0.001|ta_0.001,,8.5,,2,0,en_0.999|fr_0.001|ta_0.001,en_1.000,
6,english,retail,english,en,en,azure/kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_145518_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.561,0.442,0.395,0.704,0.985284,1.0,0.988,1.0,1495,2177,fr_0.006|de_0.004|id_0.002|sv_0.001|ja_0.001|pt_0.001,,5.0,,21,0,en_0.985|fr_0.006|de_0.004|id_0.002|sv_0.001|ja_0.001|pt_0.001,en_1.000,
7,english,retail,english,en,en,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/english/20260507_005945_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260507_005945_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.591,0.444,0.377,0.638,0.990087,1.0,0.992,1.0,1715,1885,fr_0.005|de_0.003|id_0.001,,7.0,,17,0,en_0.990|fr_0.005|de_0.003|id_0.001,en_1.000,
8,english,telecom,english,en,en,gpt-5-mini,gpt-5-mini,data/simulations/english/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260422_204705_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/results.json,,0.664,0.532,0.474,0.714,0.998751,0.999668,0.999,1.0,3202,3014,la_0.001|ja_0.000|ru_0.000,pa_0.000,62.0,26.0,4,1,en_0.999|la_0.001|ja_0.000|ru_0.000,en_1.000|pa_0.000,
9,english,telecom,english,en,en,azure/kimi-k2.5,kimi-k2.5,data/simulations/english/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260509_195105_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.977,0.953,0.93,0.952,1.0,1.0,1.0,1.0,2730,3227,,,,,0,0,en_1.000,en_1.000,
10,english,telecom,english,en,en,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/english/20260506_212037_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260506_212037_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,,0.357,0.208,0.14,0.392,1.0,1.0,1.0,1.0,2563,2808,,,,,0,0,en_1.000,en_1.000,
11,l2_domain,airline,chinese,zh,zh,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.607,0.493,0.44,0.725,0.994614,0.954733,0.994,0.965,557,729,de_0.002|ko_0.002|sr_0.002,en_0.041|ko_0.004,10.0,19.0,3,21,zh_0.995|de_0.002|ko_0.002|sr_0.002,zh_0.955|en_0.041|ko_0.004,
12,l2_domain,airline,chinese,zh,zh,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.66,0.507,0.44,0.667,1.0,1.0,1.0,1.0,631,1110,,,,,0,0,zh_1.000,zh_1.000,
