progress,progress_notes,experiment,domain,language_or_scenario,agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,read_action_count,read_acount_total,read_action_percent,write_action_count,write_acount_total,write_action_percent,db_match,language_correctness,total_simulations,total_tasks
DONE,,translated,airline,id,azure/gpt-5-mini,2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,60.0,54.0,50.0,213,273,78.0,27,147,18.4,61.3,79.6,150,50
DONE,,translated,airline,th,azure/gpt-5-mini,2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,59.3,45.3,36.0,243,273,89.0,30,147,20.4,61.3,99.4,150,50
DONE,,translated,airline,tl,azure/gpt-5-mini,2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,56.0,43.3,38.0,205,273,75.1,27,147,18.4,56.0,83.1,150,50
DONE,,translated,airline,vi,azure/gpt-5-mini,2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,54.0,40.0,32.0,241,273,88.3,24,147,16.3,55.3,99.7,150,50
DONE,,translated,airline,zh,azure/gpt-5-mini,2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,60.7,49.3,44.0,255,273,93.4,39,147,26.5,62.7,96.5,150,50
DONE,,translated,retail,id,azure/gpt-5-mini,2026-05-16-01-37-48_retail_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,54.1,39.2,32.5,976,1071,91.1,301,528,57.0,56.4,95.3,342,114
DONE,Running 2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,th,azure/gpt-5-mini,2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,32.5,17.5,12.3,807,1067,75.6,195,527,37.0,34.0,99.7,342,114
DONE,Running 2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,tl,azure/gpt-5-mini,2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,48.8,33.3,26.3,946,1061,89.2,281,521,53.9,50.0,97.0,342,114
DONE,Running 2026-05-18-14-30-34_translated_retail_trial-3_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,translated,retail,vi,azure/gpt-5-mini,2026-05-18-14-30-34_translated_retail_trial-3_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,58.5,42.7,33.3,972,1071,90.8,337,528,63.8,59.4,99.8,342,114
DONE,,translated,retail,zh,azure/gpt-5-mini,2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,59.6,45.0,36.8,975,1071,91.0,339,528,64.2,59.9,97.3,342,114
DONE,Rerunning the 114-task base split at max concurrency 6 after fixing Azure tool-choice handling and retry behavior.,translated,telecom,id,azure/gpt-5-mini,2026-05-18-21-51-53_translated_telecom_trial-3_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,49.7,32.5,24.6,,,,750,937,80.0,24.0,99.5,342,114
DONE,,translated,telecom,th,azure/gpt-5-mini,2026-05-19-10-00-43_translated_telecom_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.0,0.0,0.0,,,,0,0,,,100.0,342,114
DONE,Resuming in-place after localhost/API connection recovery; checkpoint had 268/342 simulations on 2026-05-21.,translated,telecom,tl,azure/gpt-5-mini,2026-05-21-06-35-19_translated_telecom_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.0,0.0,0.0,,,,0,0,,,100.0,342,114
DONE,Started 2026-05-21 and bumped to max concurrency 40 after clean initial API sample.,translated,telecom,vi,azure/gpt-5-mini,2026-05-21-11-53-32_translated_telecom_trial-3_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.0,0.0,0.0,,,,0,0,,,100.0,342,114
TODO,,translated,telecom,zh,azure/gpt-5-mini,,,,,,,,,,,,,,
DONE,Rerun 2026-05-19: 342/342 sims complete; 275 too_many_errors (Kimi tool-loop model behavior) — 62 user_stop. Full 114 tasks evaluated.,translated,retail,id,azure/kimi-k2.5,2026-05-16-14-01-15_retail_id_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,11.1,0.3,0.0,279,298,93.6,44,84,52.4,62.9,99.7,342,114
DONE,Rerun 2026-05-19: 342/342 sims complete; 77 too_many_errors (Kimi tool-loop model behavior). Full 114 tasks x3 trials evaluated.,translated,retail,th,azure/kimi-k2.5,2026-05-16-18-39-31_retail_th_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,36.3,17.0,7.9,766,867,88.4,181,395,45.8,47.9,100.0,342,114
DONE,Rerun via openrouter/moonshotai/kimi-k2.5; 9.4% infra errors (32/342) — acceptable. Full 114 tasks x3 trials.,translated,retail,vi,azure/kimi-k2.5,2026-05-18-22-37-59_translated_retail_trial-3_vi_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,56.7,39.2,26.8,823,888,92.7,262,484,54.1,56.3,99.9,342,114
NEEDS_CHECK,Fresh rerun needed; cleared simulation_source — 215/342 short-infra contaminations (62.9%) from rate-limit contention at concurrency 6,translated,retail,tl,azure/kimi-k2.5,,3.5,2.0,1.8,12,279,4.3,8,140,5.7,16.5,75.1,342,114
DONE,,translated,retail,zh,azure/kimi-k2.5,2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,60.7,45.0,36.6,900,997,90.3,322,490,65.7,64.9,100.0,342,114
NEEDS_CHECK,Archived source clean on infra; 0 infra errors in results.json,translated,airline,id,azure/kimi-k2.5,2026-05-22-07-05-10_translated_airline_trial-3_id_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,38.0,7.0,,93,97,95.9,16,45,35.6,80.0,95.9,150,50
DONE,"Completed 150/150 on rerun, but compromised: 146 too_many_errors, 2 timeout, 1 max_steps, 1 user_stop; avg reward 0.0067. Keep NEEDS_CHECK.",translated,airline,th,azure/kimi-k2.5,2026-05-20-22-02-17_translated_airline_trial-3_th_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,0.7,0.0,0.0,0,6,0.0,0,0,,100.0,99.3,150,50
DONE,,translated,airline,tl,azure/kimi-k2.5,2026-05-19-15-14-21_translated_airline_trial-3_tl_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,20.7,12.7,10.0,18,154,11.7,0,55,0.0,52.5,68.5,150,50
NEEDS_CHECK,Archived source has 1 infrastructure error in results.json (connection error),translated,airline,vi,azure/kimi-k2.5,2026-05-20-08-15-48_translated_airline_trial-3_vi_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,5.3,4.0,4.1,0,8,0.0,0,16,0.0,57.1,83.9,150,50
DONE,,translated,airline,zh,azure/kimi-k2.5,2026-05-20-14-54-32_translated_airline_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,2.7,1.3,0.0,0,14,0.0,0,0,,100.0,98.7,150,50
TODO,,translated,telecom,id,azure/kimi-k2.5,,,,,,,,,,,,,,
TODO,,translated,telecom,th,azure/kimi-k2.5,,,,,,,,,,,,,,
TODO,,translated,telecom,tl,azure/kimi-k2.5,,,,,,,,,,,,,,
TODO,,translated,telecom,vi,azure/kimi-k2.5,,,,,,,,,,,,,,
TODO,,translated,telecom,zh,azure/kimi-k2.5,,,,,,,,,,,,,,
DONE,retail/id completed; 6 retry/parse errors; all 114 tasks and 3 trials finished,translated,retail,id,openrouter/qwen/qwen3.6-35b-a3b,2026-05-18-01-01-01_translated_retail_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,55.3,39.5,29.8,956,1047,91.3,294,512,57.4,56.5,98.0,342,114
