scope,domain,language,agent_llm,num_runs,num_tasks,num_simulations,critical_error_count,critical_error_percent,benign_error_count,benign_error_percent,total_error_count,total_error_percent,user_language_eval_count,user_language_drift_sim_count,user_language_drift_sim_percent,severe_user_language_drift_sim_count,substantial_user_language_drift_sim_count,mild_user_language_drift_sim_count,user_language_drift_turn_count,user_language_drift_turn_percent,user_turns_total,user_turns_correct,user_out_of_scope_count,user_transfer_marker_count,user_stop_marker_count,agent_language_eval_count,agent_language_drift_sim_count,agent_language_drift_sim_percent,top_agent_failure_mode,top_agent_failure_mode_count,top_agent_failure_mode_percent,user_language_drift,agent_language_drift,notes
all_tracked,airline,id,azure/gpt-5-mini,1,50,150,3,2.0,16,10.7,19,12.7,150,17,11.3,14,1,3,22,4.5,492,470,3,84,63,150,91,60.7,missing_required_write,26,17.3,17/150 sims; 22/492 turns,91/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,id,openrouter/qwen/qwen3.6-35b-a3b,1,50,150,6,4.0,3,2.0,9,6.0,150,3,2.0,3,0,0,6,1.0,579,573,6,65,79,150,50,33.3,wrong_write_arguments_or_state,17,11.3,3/150 sims; 6/579 turns,50/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,th,azure/gpt-5-mini,1,50,150,5,3.3,3,2.0,8,5.3,150,3,2.0,2,1,1,3,0.5,631,628,5,63,82,150,4,2.7,missing_required_write,23,15.3,3/150 sims; 3/631 turns,4/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,th,openrouter/qwen/qwen3.6-35b-a3b,1,50,150,7,4.7,1,0.7,8,5.3,150,1,0.7,0,0,1,1,0.2,433,432,7,54,56,150,0,0.0,missing_required_write,33,22.0,1/150 sims; 1/433 turns,0/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,tl,azure/gpt-5-mini,1,50,150,8,5.3,25,16.7,33,22.0,150,27,18.0,17,1,10,36,6.8,526,490,8,85,57,150,83,55.3,missing_required_write,38,25.3,27/150 sims; 36/526 turns,83/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,tl,azure/kimi-k2.5,1,50,150,5,3.3,14,9.3,19,12.7,150,14,9.3,14,10,0,14,5.7,246,232,5,51,3,150,100,66.7,missing_required_write,80,53.3,14/150 sims; 14/246 turns,100/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,tl,openrouter/qwen/qwen3.6-35b-a3b,1,50,150,10,6.7,8,5.3,18,12.0,144,8,5.6,5,1,3,11,2.1,530,519,10,71,56,144,51,35.4,missing_required_write,20,13.3,8/144 sims; 11/530 turns,51/144 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,vi,azure/gpt-5-mini,1,50,150,0,0.0,6,4.0,6,4.0,150,6,4.0,4,1,2,8,1.4,590,582,0,82,68,150,1,0.7,wrong_write_arguments_or_state,22,14.7,6/150 sims; 8/590 turns,1/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,vi,openrouter/qwen/qwen3.6-35b-a3b,1,50,150,7,4.7,1,0.7,8,5.3,145,1,0.7,1,0,0,1,0.2,553,552,7,70,68,145,0,0.0,wrong_write_arguments_or_state,14,9.3,1/145 sims; 1/553 turns,0/145 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,zh,azure/gpt-5-mini,1,50,150,4,2.7,3,2.0,7,4.7,150,3,2.0,2,0,1,3,0.5,557,554,4,74,72,150,21,14.0,missing_required_write,23,15.3,3/150 sims; 3/557 turns,21/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,zh,azure/kimi-k2.5,1,50,150,0,0.0,1,0.7,1,0.7,150,1,0.7,1,0,0,1,0.7,152,151,0,4,0,150,4,2.7,missing_required_write,58,38.7,1/150 sims; 1/152 turns,4/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,airline,zh,openrouter/qwen/qwen3.6-35b-a3b,1,50,150,1,0.7,0,0.0,1,0.7,150,0,0.0,0,0,0,0,0.0,399,399,1,51,52,150,2,1.3,tool_error_loop,23,15.3,0/150 sims; 0/399 turns,2/150 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,retail,id,Qwen3-235B-A22B-Instruct-2507-FP8,1,114,342,0,0.0,1,0.3,1,0.3,342,1,0.3,1,0,0,1,0.3,398,397,0,21,11,342,20,5.8,tool_error_loop,186,54.4,1/342 sims; 1/398 turns,20/342 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,retail,id,azure/gpt-5-mini,1,114,342,0,0.0,53,15.5,53,15.5,342,53,15.5,18,5,35,60,3.9,1557,1497,0,99,243,342,92,26.9,wrong_write_arguments_or_state,53,15.5,53/342 sims; 60/1557 turns,92/342 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,retail,id,azure/kimi-k2.5,1,114,342,0,0.0,7,2.0,7,2.0,342,7,2.0,3,0,4,7,1.1,617,610,0,5,57,342,3,0.9,missing_required_write,175,51.2,7/342 sims; 7/617 turns,3/342 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,retail,id,openrouter/qwen/qwen3.6-35b-a3b,1,114,342,1,0.3,33,9.6,34,9.9,342,33,9.6,16,1,17,39,2.5,1584,1545,1,69,266,342,44,12.9,missing_required_write,61,17.8,33/342 sims; 39/1584 turns,44/342 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,retail,th,azure/gpt-5-mini,1,114,342,6,1.8,4,1.2,10,2.9,342,4,1.2,2,0,2,7,0.4,1873,1866,6,140,195,342,6,1.8,premature_refusal_or_policy_misread,61,17.8,4/342 sims; 7/1873 turns,6/342 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,retail,th,azure/kimi-k2.5,1,114,342,1,0.3,6,1.8,7,2.0,342,6,1.8,5,0,1,7,0.5,1339,1332,1,36,228,342,0,0.0,missing_required_write,120,35.1,6/342 sims; 7/1339 turns,0/342 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,retail,tl,azure/gpt-5-mini,1,114,342,4,1.2,61,17.8,65,19.0,342,64,18.7,26,11,38,83,4.6,1786,1703,4,70,266,342,63,18.4,missing_required_write,66,19.3,64/342 sims; 83/1786 turns,63/342 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
all_tracked,retail,tl,openrouter/qwen/qwen3.6-35b-a3b,1,114,342,0,0.0,0,0.0,0,0.0,336,0,0.0,0,0,0,0,0.0,336,336,0,1,1,336,0,0.0,credential_or_identifier_hallucination,213,62.3,0/336 sims; 0/336 turns,0/336 sims,"critical=###OUT-OF-SCOPE### because it is an irrecoverable simulator exit; benign=language drift, including substantial drift, mild drift, and short identifier/slot-value detector artifacts. ###TRANSFER### and ###STOP### are reported but not counted as simulator errors."
