scenario_label,domain,language_label,role,agent_family,task_id,trial,turn_idx,expected_language,detected_language,drift_cause,after_tool_result,excluded_from_agent_language_correctness,previous_other_role_detected_language,text_snippet,simulation_source
L2 Domain,airline,ID,agent,gpt-5-mini,25,0,16,id,en,structured_tool_echo,True,False,id,"{""message"":""Reservasi berhasil dibuat."",""reservation_id"":""HATHAT"",""passenger"":""Ivan Smith"",""flights"":[{""flight_number"":""HAT097"",""date"":""2024-05-17""},{""flight_number"":""HAT251"",""date"":""2024-05-17""}],""total_price"":375,""payment_breakdown"":[{""payment_id"":""gift_card_8516878"",""amount"":128},{""payment_id"":""credit_card_3563913"",""amount"":247}]}",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,32,0,26,id,en,structured_tool_echo,True,False,id,"{ ""message"": ""Perubahan berhasil. Saya telah melakukan upgrade kabin ke ekonomi dan mengubah penerbangan ke HAT041 nonstop pada 2024-05-21 sesuai permintaan Anda. Berikut ringkasan perubahan dan tindakan selanjutnya."", ""reservation_id"": ""OWZ4XL"", ""updated_details"": { ""cabin"": ""ekonomi"", ""flights"": [ {""flight_number"": ""HAT041"", ""origin"": ""EWR"", ""destination"": ""LAX"", ""date"": ""2024-05-21"", ""price_per_passenger"": 136} ], ""passengers_count"": 3, ""new_total_paid"": 408, ""original_total_paid"": 522, ""r...",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,3,1,8,id,en,structured_tool_echo,False,False,sw,"{""total_baggages"":3}",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,14,1,4,id,en,structured_tool_echo,True,False,id,"{""user_id"":""mohamed_silva_9265"",""gift_cards"":[{""id"":""gift_card_8020792"",""balance"":198.0},{""id"":""gift_card_6136092"",""balance"":129.0}],""gift_cards_total"":327.0,""certificates"":[{""id"":""certificate_3765853"",""balance"":500.0},{""id"":""certificate_9984806"",""balance"":250.0},{""id"":""certificate_2765295"",""balance"":250.0}],""certificates_total"":1000.0,""message"":""Berikut saldo kartu hadiah dan sertifikat Anda. Jika Anda ingin menggunakan salah satu untuk pemesanan atau memerlukan bantuan lain, beri tahu saya.""}",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,18,1,25,id,en,structured_tool_echo,True,False,id,"{""status"":""sukses"",""message"":""Perubahan kabin untuk semua reservasi Anda telah diproses sesuai instruksi. Berikut ringkasan tindakan dan hasil yang tercatat oleh sistem kami:"",""reservations_updated"":[{""reservation_id"":""JG7FMM"",""sebelumnya_kabin"":""bisnis"",""baru_kabin"":""ekonomi"",""penumpang"":[{""first_name"":""Omar"",""last_name"":""Davis""},{""first_name"":""Fatima"",""last_name"":""Patel""}],""catatan_pembayaran_dari_sistem"":[{""payment_id"":""credit_card_2929732"",""amount"":7136},{""payment_id"":""credit_card_2929732...",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,21,1,32,id,en,structured_tool_echo,True,False,id,"{""status"":""waiting_for_user""}",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,25,1,14,id,en,structured_tool_echo,True,False,sw,"{""status"":""success"",""reservation_id"":""HATHAT"",""user_id"":""ivan_muller_7015"",""flight_type"":""sekali jalan"",""origin"":""DTW"",""destination"":""SEA"",""cabin"":""ekonomi"",""flights"":[{""flight_number"":""HAT097"",""origin"":""DTW"",""destination"":""PHX"",""date"":""2024-05-17"",""price"":175},{""flight_number"":""HAT251"",""origin"":""PHX"",""destination"":""SEA"",""date"":""2024-05-17"",""price"":200}],""passengers"":[{""first_name"":""Ivan"",""last_name"":""Smith"",""dob"":""1986-03-14""}],""total_baggages"":0,""insurance"":""tidak"",""payment_history"":[{""paym...",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,3,2,6,id,it,structured_tool_echo,True,False,id,"{""message"":""4""}",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,17,2,18,id,en,structured_tool_echo,True,False,id,"{ ""message"": ""Perubahan berhasil — reservasi Anda telah diperbarui."", ""reservation_summary"": { ""reservation_id"": ""QKRY03"", ""user_id"": ""omar_rossi_1241"", ""route"": ""MCO → PHX (HAT214) pada 2024-05-24; PHX → DTW (HAT265) pada 2024-05-25"", ""flight_type"": ""sekali jalan"", ""cabin"": ""ekonomi"", ""flights"": [ {""flight_number"": ""HAT214"", ""date"": ""2024-05-24"", ""price"": 117}, {""flight_number"": ""HAT265"", ""date"": ""2024-05-25"", ""price"": 158} ], ""passengers"": [ {""first_name"": ""Omar"", ""last_name"": ""Rossi"", ""dob...",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,23,2,18,id,en,structured_tool_echo,False,False,id,"{ ""confirmation_summary"": ""Berikut rincian akhir sebelum saya buat 3 reservasi terpisah. Mohon periksa dan konfirmasikan dengan membalas tepat 'ya' untuk saya lanjutkan atau 'tidak' untuk membatalkan."", ""per_reservation_details"": [ { ""passenger"": ""Mohamed Silva"", ""flights"": [ {""flight_number"": ""HAT023"", ""route"": ""JFK→SFO"", ""date"": ""2024-05-26""}, {""flight_number"": ""HAT204"", ""route"": ""SFO→SEA"", ""date"": ""2024-05-28""}, {""flight_number"": ""HAT100"", ""route"": ""SEA→JFK"", ""date"": ""2024-05-28""} ], ""cabi...",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
