summary_level,language_metric,outcome_metric,n,pearson_r,r_squared,scenario,domain
overall,user_language_correctness,pass_hat_1,166,-0.063058,0.003976,,
overall,user_language_correctness,pass_hat_2,166,-0.045354,0.002057,,
overall,user_language_correctness,pass_hat_3,166,-0.035292,0.001246,,
overall,user_language_correctness,rho_3,166,-0.070607,0.004985,,
overall,agent_language_correctness,pass_hat_1,166,-0.083627,0.006993,,
overall,agent_language_correctness,pass_hat_2,166,-0.092271,0.008514,,
overall,agent_language_correctness,pass_hat_3,166,-0.095841,0.009185,,
overall,agent_language_correctness,rho_3,166,-0.058021,0.003366,,
scenario,user_language_correctness,pass_hat_1,8,0.614636,0.377777,1-english-only,
scenario,user_language_correctness,pass_hat_2,8,0.580059,0.336468,1-english-only,
scenario,user_language_correctness,pass_hat_3,8,0.548175,0.300496,1-english-only,
scenario,user_language_correctness,rho_3,8,0.476044,0.226618,1-english-only,
scenario,agent_language_correctness,pass_hat_1,8,0.181328,0.03288,1-english-only,
scenario,agent_language_correctness,pass_hat_2,8,0.199412,0.039765,1-english-only,
scenario,agent_language_correctness,pass_hat_3,8,0.1826,0.033343,1-english-only,
scenario,agent_language_correctness,rho_3,8,0.159006,0.025283,1-english-only,
scenario,user_language_correctness,pass_hat_1,54,-0.170854,0.029191,2-multilingual-tools,
scenario,user_language_correctness,pass_hat_2,54,-0.131133,0.017196,2-multilingual-tools,
scenario,user_language_correctness,pass_hat_3,54,-0.112013,0.012547,2-multilingual-tools,
scenario,user_language_correctness,rho_3,54,-0.180278,0.0325,2-multilingual-tools,
scenario,agent_language_correctness,pass_hat_1,54,0.752531,0.566303,2-multilingual-tools,
scenario,agent_language_correctness,pass_hat_2,54,0.731246,0.534721,2-multilingual-tools,
scenario,agent_language_correctness,pass_hat_3,54,0.72527,0.526017,2-multilingual-tools,
scenario,agent_language_correctness,rho_3,54,0.771533,0.595263,2-multilingual-tools,
scenario,user_language_correctness,pass_hat_1,56,0.003879,1.5e-05,3-crosslingual,
scenario,user_language_correctness,pass_hat_2,56,0.046799,0.00219,3-crosslingual,
scenario,user_language_correctness,pass_hat_3,56,0.06822,0.004654,3-crosslingual,
scenario,user_language_correctness,rho_3,56,-0.009342,8.7e-05,3-crosslingual,
scenario,agent_language_correctness,pass_hat_1,56,0.211544,0.044751,3-crosslingual,
scenario,agent_language_correctness,pass_hat_2,56,0.22219,0.049368,3-crosslingual,
scenario,agent_language_correctness,pass_hat_3,56,0.224812,0.05054,3-crosslingual,
scenario,agent_language_correctness,rho_3,56,0.133102,0.017716,3-crosslingual,
scenario,user_language_correctness,pass_hat_1,48,0.200693,0.040278,4-translated,
scenario,user_language_correctness,pass_hat_2,48,0.196646,0.03867,4-translated,
scenario,user_language_correctness,pass_hat_3,48,0.175479,0.030793,4-translated,
scenario,user_language_correctness,rho_3,48,0.049319,0.002432,4-translated,
scenario,agent_language_correctness,pass_hat_1,48,0.254764,0.064905,4-translated,
scenario,agent_language_correctness,pass_hat_2,48,0.258944,0.067052,4-translated,
scenario,agent_language_correctness,pass_hat_3,48,0.23917,0.057202,4-translated,
scenario,agent_language_correctness,rho_3,48,0.225013,0.050631,4-translated,
domain,user_language_correctness,pass_hat_1,58,-0.096333,0.00928,,airline
domain,user_language_correctness,pass_hat_2,58,-0.063583,0.004043,,airline
domain,user_language_correctness,pass_hat_3,58,-0.054656,0.002987,,airline
domain,user_language_correctness,rho_3,58,-0.026853,0.000721,,airline
domain,agent_language_correctness,pass_hat_1,58,-0.365372,0.133497,,airline
domain,agent_language_correctness,pass_hat_2,58,-0.332498,0.110555,,airline
domain,agent_language_correctness,pass_hat_3,58,-0.31354,0.098307,,airline
domain,agent_language_correctness,rho_3,58,-0.151995,0.023102,,airline
domain,user_language_correctness,pass_hat_1,56,-0.140387,0.019709,,retail
domain,user_language_correctness,pass_hat_2,56,-0.173399,0.030067,,retail
domain,user_language_correctness,pass_hat_3,56,-0.198971,0.039589,,retail
domain,user_language_correctness,rho_3,56,-0.22432,0.050319,,retail
domain,agent_language_correctness,pass_hat_1,56,-0.343669,0.118108,,retail
domain,agent_language_correctness,pass_hat_2,56,-0.378302,0.143112,,retail
domain,agent_language_correctness,pass_hat_3,56,-0.397501,0.158007,,retail
domain,agent_language_correctness,rho_3,56,-0.337139,0.113663,,retail
domain,user_language_correctness,pass_hat_1,52,-0.053878,0.002903,,telecom
domain,user_language_correctness,pass_hat_2,52,-0.042996,0.001849,,telecom
domain,user_language_correctness,pass_hat_3,52,-0.03436,0.001181,,telecom
domain,user_language_correctness,rho_3,52,-0.083314,0.006941,,telecom
domain,agent_language_correctness,pass_hat_1,52,0.284067,0.080694,,telecom
domain,agent_language_correctness,pass_hat_2,52,0.235691,0.05555,,telecom
domain,agent_language_correctness,pass_hat_3,52,0.212364,0.045098,,telecom
domain,agent_language_correctness,rho_3,52,0.209834,0.04403,,telecom
scenario_domain,user_language_correctness,pass_hat_1,2,,,1-english-only,airline
scenario_domain,user_language_correctness,pass_hat_2,2,,,1-english-only,airline
scenario_domain,user_language_correctness,pass_hat_3,2,,,1-english-only,airline
scenario_domain,user_language_correctness,rho_3,2,,,1-english-only,airline
