group,group_value,domain,primary_failure_mode,count,pct_all,pct_agent_failures,total_simulations,agent_failure_count,lang,agent_llm,run
by_domain,airline,airline,success,62,11.5,,537,469,,,
by_domain,airline,airline,non_agent_infrastructure,6,1.1,,537,469,,,
by_domain,airline,airline,tool_error_loop,30,5.6,6.4,537,469,,,
by_domain,airline,airline,missing_required_write,295,54.9,62.9,537,469,,,
by_domain,airline,airline,translated_identifier_lookup_failure,3,0.6,0.6,537,469,,,
by_domain,airline,airline,dialogue_or_action_loop,115,21.4,24.5,537,469,,,
by_domain,airline,airline,language_drift,14,2.6,3.0,537,469,,,
by_domain,airline,airline,unclassified_failure,12,2.2,2.6,537,469,,,
by_domain,retail,retail,success,1028,23.1,,4446,3173,,,
by_domain,retail,retail,non_agent_infrastructure,245,5.5,,4446,3173,,,
by_domain,retail,retail,credential_or_identifier_hallucination,623,14.0,19.6,4446,3173,,,
by_domain,retail,retail,tool_error_loop,676,15.2,21.3,4446,3173,,,
by_domain,retail,retail,missing_required_write,1182,26.6,37.3,4446,3173,,,
by_domain,retail,retail,wrong_write_arguments_or_state,217,4.9,6.8,4446,3173,,,
by_domain,retail,retail,premature_refusal_or_policy_misread,198,4.5,6.2,4446,3173,,,
by_domain,retail,retail,translated_identifier_lookup_failure,136,3.1,4.3,4446,3173,,,
by_domain,retail,retail,non_action_assertion_failure,34,0.8,1.1,4446,3173,,,
by_domain,retail,retail,dialogue_or_action_loop,61,1.4,1.9,4446,3173,,,
by_domain,retail,retail,wrong_read_arguments,10,0.2,0.3,4446,3173,,,
by_domain,retail,retail,max_steps_or_dialogue_loop,25,0.6,0.8,4446,3173,,,
by_domain,retail,retail,language_drift,7,0.2,0.2,4446,3173,,,
by_domain,retail,retail,unclassified_failure,4,0.1,0.1,4446,3173,,,
by_domain,telecom,telecom,success,170,8.3,,2053,1573,,,
by_domain,telecom,telecom,non_agent_infrastructure,310,15.1,,2053,1573,,,
by_domain,telecom,telecom,credential_or_identifier_hallucination,528,25.7,33.6,2053,1573,,,
by_domain,telecom,telecom,tool_error_loop,739,36.0,47.0,2053,1573,,,
by_domain,telecom,telecom,missing_required_write,38,1.9,2.4,2053,1573,,,
by_domain,telecom,telecom,wrong_write_arguments_or_state,5,0.2,0.3,2053,1573,,,
by_domain,telecom,telecom,missing_user_device_instruction,244,11.9,15.5,2053,1573,,,
by_domain,telecom,telecom,translated_identifier_lookup_failure,18,0.9,1.1,2053,1573,,,
by_domain,telecom,telecom,non_action_assertion_failure,1,0.0,0.1,2053,1573,,,
by_language,id,,success,427,23.0,,1860,1428,id,,
by_language,id,,non_agent_infrastructure,5,0.3,,1860,1428,id,,
by_language,id,,credential_or_identifier_hallucination,157,8.4,11.0,1860,1428,id,,
